Nome,Quantidade,Componente
"U5",1," Arduino Uno R3"
"R10",1,"2.2 kΩ Resistor"
"R11, R12, R13, R14, R17, R18",6,"1 kΩ Resistor"
"S2, S3, S5",3," Botão"
"R15",1,"220 Ω Resistor"
"U7",1," Porta quad OR"
"D3, D4",2," Diodo"
"U8",1," Amplificador operacional 741"
"U6",1,"Baseado em PCF8574, 39 (0x27) LCD 16 x 2 (I2C)"
"R1",1,"1 MΩ Resistor"
"BAT1",1," Bateria 9V"
"Bat2",1,"1 bateria, AA, não Bateria 1,5V"
"S1",1," Interruptor deslizante"
