Nome,Quantidade,Componente
"U1",1," Arduino Uno R3"
"KEYPAD1",1," Teclado 4x4"
"U2",1," Flip-flop D duplo"
"S1",1," Interruptor deslizante"
"R1",1,"10 kΩ Resistor"
"D1",1,"Amarelo LED"
"D2",1,"Verde LED"
"D3",1,"Vermelho LED"
"R2, R3, R4",3,"220 Ω Resistor"
"PIEZO1",1," Piezo"
