Nome,Quantidade,Componente
"U1",1," Arduino Uno R3"
"SEN1",1," Sensor de umidade do solo"
"M1",1," Motor CC"
"U2",1," LCD 16 x 2"
"Rpot1",1,"1 kΩ Potenciômetro"
"R3",1,"220 Ω Resistor"
"S1",1," Botão"
"R1, R4",2,"10 kΩ Resistor"
"K1",1," Relé SPDT"
