Nome,Quantidade,Componente
"U1",1," Arduino Uno R3"
"U2",1," LCD 16 x 2"
"U_ST_01",1," Sensor de temperatura [TMP36]"
"Rpot1",1,"10 kΩ Potenciômetro"
"R1",1,"220 Ω Resistor"
