Nome,Quantidade,Componente
"U1",1," Arduino Uno R3"
"S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12",12," Botão"
"U2",1," Porta quad AND"
"D1",1,"Verde LED"
"D2",1,"Azul LED"
"D3",1,"Vermelho LED"
"D4",1,"Amarelo LED"
"R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R2",11,"10 kΩ Resistor"
"R1, R15, R16, R17",4,"220 Ω Resistor"
"SW1",1," Interruptor DIP DPST"
